Id_pracownika,Imie,Nazwisko,Wynagrodzenie,Plec,Dzial,Email,Status
1,Weronika,Piotrowska,5323,K,Rachunkowość,weronika.piotrowska.1@ecommerce.com,zatrudniony
2,Rafał,Mazur,9345,M,Rachunkowość,rafa.mazur.2@ecommerce.com,zatrudniony
3,Szymon,Mazur,5090,M,Rachunkowość,szymon.mazur.3@ecommerce.com,zatrudniony
4,Natalia,Szymańska,5537,K,Rachunkowość,natalia.szymanska.4@ecommerce.com,zatrudniony
5,Tomasz,Kowalski,6015,M,Rachunkowość,tomasz.kowalski.5@ecommerce.com,zatrudniony
6,Anna,Woźniak,9789,K,Analityk,anna.wozniak.6@ecommerce.com,zatrudniony
7,Monika,Kaczmarek,7968,K,Magazynier,monika.kaczmarek.7@ecommerce.com,zatrudniony
8,Justyna,Pawłowska,9908,K,Kompletacja,justyna.pawowska.8@ecommerce.com,zatrudniony
9,Maria,Grabowska,9149,K,Magazynier,maria.grabowska.9@ecommerce.com,zatrudniony
10,Rafał,Woźniak,7354,M,Magazynier,rafa.wozniak.10@ecommerce.com,zatrudniony
11,Maria,Kwiatkowska,4555,K,Kompletacja,maria.kwiatkowska.11@ecommerce.com,zatrudniony
12,Zuzanna,Krawczyk,5707,K,Magazynier,zuzanna.krawczyk.12@ecommerce.com,zatrudniony
13,Natalia,Kowalska,7811,K,Analityk,natalia.kowalska.13@ecommerce.com,zatrudniony
14,Ewa,Szymańska,5057,K,Magazynier,ewa.szymanska.14@ecommerce.com,zatrudniony
15,Dominik,Jankowski,5445,M,Informatyk,dominik.jankowski.15@ecommerce.com,zatrudniony
16,Piotr,Szymański,5590,M,Informatyk,piotr.szymanski.16@ecommerce.com,zatrudniony
17,Tomasz,Wójcik,9704,M,Kompletacja,tomasz.wojcik.17@ecommerce.com,zatrudniony
18,Robert,Krawczyk,9380,M,Analityk,robert.krawczyk.18@ecommerce.com,zwolniony
19,Sylwia,Woźniak,7305,K,Kompletacja,sylwia.wozniak.19@ecommerce.com,zatrudniony
20,Aleksandra,Szymańska,4638,K,Analityk,aleksandra.szymanska.20@ecommerce.com,zatrudniony
21,Joanna,Zielińska,9888,K,Analityk,joanna.zielinska.21@ecommerce.com,zatrudniony
22,Katarzyna,Wójcik,5900,K,Magazynier,katarzyna.wojcik.22@ecommerce.com,zatrudniony
23,Magdalena,Piotrowska,4439,K,Analityk,magdalena.piotrowska.23@ecommerce.com,zwolniony
24,Julia,Nowak,8966,K,Kompletacja,julia.nowak.24@ecommerce.com,zatrudniony
25,Tomasz,Woźniak,8510,M,Analityk,tomasz.wozniak.25@ecommerce.com,zatrudniony
26,Agnieszka,Nowak,5002,K,Informatyk,agnieszka.nowak.26@ecommerce.com,zatrudniony
27,Dominik,Piotrowski,7212,M,Kompletacja,dominik.piotrowski.27@ecommerce.com,zatrudniony
28,Monika,Kowalska,9488,K,Magazynier,monika.kowalska.28@ecommerce.com,zatrudniony
29,Jakub,Jankowski,7719,M,Kompletacja,jakub.jankowski.29@ecommerce.com,zatrudniony
30,Jakub,Michalski,4980,M,Informatyk,jakub.michalski.30@ecommerce.com,zwolniony
31,Adam,Kowalski,7800,M,Informatyk,adam.kowalski.31@ecommerce.com,zatrudniony
32,Sylwia,Krawczyk,9813,K,Magazynier,sylwia.krawczyk.32@ecommerce.com,zatrudniony
33,Joanna,Nowak,6935,K,Magazynier,joanna.nowak.33@ecommerce.com,zwolniony
34,Anna,Mazur,5040,K,Kompletacja,anna.mazur.34@ecommerce.com,zatrudniony
35,Aleksandra,Woźniak,7169,K,Analityk,aleksandra.wozniak.35@ecommerce.com,zatrudniony
36,Krzysztof,Jankowski,5208,M,Kompletacja,krzysztof.jankowski.36@ecommerce.com,zatrudniony
37,Julia,Mazur,9782,K,Kompletacja,julia.mazur.37@ecommerce.com,zatrudniony
38,Maciej,Kowalski,8204,M,Magazynier,maciej.kowalski.38@ecommerce.com,zatrudniony
39,Robert,Wójcik,5854,M,Informatyk,robert.wojcik.39@ecommerce.com,zatrudniony
40,Marcin,Wójcik,5362,M,Analityk,marcin.wojcik.40@ecommerce.com,zwolniony
41,Jakub,Kaczmarek,8709,M,Analityk,jakub.kaczmarek.41@ecommerce.com,zatrudniony
42,Maria,Woźniak,6333,K,Informatyk,maria.wozniak.42@ecommerce.com,zatrudniony
43,Adam,Szymański,5141,M,Magazynier,adam.szymanski.43@ecommerce.com,zatrudniony
44,Dawid,Krawczyk,4749,M,Magazynier,dawid.krawczyk.44@ecommerce.com,zatrudniony
45,Justyna,Kwiatkowska,5468,K,Kompletacja,justyna.kwiatkowska.45@ecommerce.com,zatrudniony
46,Maciej,Michalski,5359,M,Analityk,maciej.michalski.46@ecommerce.com,zatrudniony
47,Katarzyna,Pawłowska,6066,K,Magazynier,katarzyna.pawowska.47@ecommerce.com,zwolniony
48,Sylwia,Krawczyk,8282,K,Magazynier,sylwia.krawczyk.48@ecommerce.com,zatrudniony
49,Joanna,Nowak,6713,K,Kompletacja,joanna.nowak.49@ecommerce.com,zatrudniony
50,Robert,Wójcik,9456,M,Informatyk,robert.wojcik.50@ecommerce.com,zatrudniony
51,Szymon,Mazur,8432,M,Kompletacja,szymon.mazur.51@ecommerce.com,zatrudniony
52,Mateusz,Krawczyk,4647,M,Magazynier,mateusz.krawczyk.52@ecommerce.com,zatrudniony
53,Julia,Kaczmarek,7713,K,Informatyk,julia.kaczmarek.53@ecommerce.com,zatrudniony
54,Aleksandra,Jankowska,8710,K,Kompletacja,aleksandra.jankowska.54@ecommerce.com,zatrudniony
55,Szymon,Kaczmarek,9367,M,Magazynier,szymon.kaczmarek.55@ecommerce.com,zatrudniony
56,Weronika,Kaczmarek,5920,K,Kompletacja,weronika.kaczmarek.56@ecommerce.com,zwolniony
57,Anna,Michalska,7353,K,Magazynier,anna.michalska.57@ecommerce.com,zatrudniony
